method,seed,variant,evaluation,n,tflite_bytes,conversion_seconds,evaluation_seconds,accuracy,macro_f1,multiclass_gmean,balanced_accuracy,original_macro_f1,delta_macro_f1_vs_original,agreement_with_original,agreement_with_fp32,max_raw_row_sum_error,recall_tumor,recall_stroma,recall_complex,recall_lympho,recall_debris,recall_mucosa,recall_adipose,recall_empty
yolo11n,43,fp32,test_jpeg,500,6266700,9.311402581981383,0.2865533570293337,0.914,0.9157533482417832,0.9126186877397164,0.9167163704562284,0.9157533482417832,0.0,1.0,1.0,1.788139343261719e-07,1.0,0.8620689655172413,0.7647058823529411,0.8412698412698413,0.8823529411764706,0.9833333333333332,1.0,1.0
yolo11n,43,fp16_weights,test_jpeg,500,3226800,0.0519806030206382,0.2915441469522193,0.914,0.9157533482417832,0.9126186877397164,0.9167163704562284,0.9157533482417832,0.0,1.0,1.0,2.384185791015625e-07,1.0,0.8620689655172413,0.7647058823529411,0.8412698412698413,0.8823529411764706,0.9833333333333332,1.0,1.0
yolo11n,43,int8_dynamic,test_jpeg,500,1734464,0.0492849430302158,0.3185349899576977,0.922,0.923645841616668,0.9206639552575804,0.9246780321323932,0.9157533482417832,0.0078924933748847,0.988,0.988,1.788139343261719e-07,1.0,0.8793103448275862,0.75,0.873015873015873,0.9117647058823528,0.9833333333333332,1.0,1.0
yolo11n,43,int8_static,test_jpeg,500,1805136,4.175409088958986,0.1689096939517185,0.916,0.9177814458054128,0.9140075694439722,0.9186753437006988,0.9157533482417832,0.0020280975636296,0.98,0.98,0.0078125,1.0,0.8448275862068966,0.7352941176470589,0.8888888888888888,0.8970588235294118,0.9833333333333332,1.0,1.0
yolo11n,43,fp32,test_resolution,500,6266700,9.311402581981383,0.2848721940536052,0.688,0.6693508174396465,0.6176641622234808,0.6914754892349804,0.6693508174396465,0.0,1.0,1.0,1.788139343261719e-07,0.4328358208955223,0.3275862068965517,0.2647058823529412,0.984126984126984,0.9558823529411764,0.9,0.6666666666666666,1.0
yolo11n,43,fp16_weights,test_resolution,500,3226800,0.0519806030206382,0.2881642640568316,0.69,0.6715821910112048,0.6196729375218406,0.6936684716911207,0.6693508174396465,0.0022313735715582,0.998,0.998,1.788139343261719e-07,0.4328358208955223,0.3275862068965517,0.2647058823529412,0.984126984126984,0.9558823529411764,0.9,0.6842105263157895,1.0
yolo11n,43,int8_dynamic,test_resolution,500,1734464,0.0492849430302158,0.3299364590784535,0.634,0.5965418610485862,0.50613280367197,0.6401107027266126,0.6693508174396465,-0.0728089563910603,0.914,0.914,1.788139343261719e-07,0.2537313432835821,0.2586206896551724,0.1176470588235294,0.984126984126984,0.9558823529411764,0.8666666666666667,0.6842105263157895,1.0
yolo11n,43,int8_static,test_resolution,500,1805136,4.175409088958986,0.1642710760934278,0.608,0.5617185367471138,0.4632272117405369,0.6128240051426842,0.6693508174396465,-0.1076322806925327,0.894,0.894,0.0078125,0.2388059701492537,0.2241379310344827,0.088235294117647,0.984126984126984,0.9558823529411764,0.85,0.5614035087719298,1.0
yolo11n,43,fp32,test_occlusion,500,6266700,9.311402581981383,0.2920974129810929,0.922,0.9219619805249152,0.9186701984255348,0.9257162403475716,0.9219619805249152,0.0,1.0,1.0,2.384185791015625e-07,0.9701492537313432,0.896551724137931,0.6617647058823529,0.984126984126984,0.9264705882352942,0.9666666666666668,1.0,1.0
yolo11n,43,fp16_weights,test_occlusion,500,3226800,0.0519806030206382,0.29303493804764,0.924,0.9239375332294928,0.9208601807231838,0.9278714127613644,0.9219619805249152,0.0019755527045776,0.998,0.998,1.788139343261719e-07,0.9701492537313432,0.913793103448276,0.6617647058823529,0.984126984126984,0.9264705882352942,0.9666666666666668,1.0,1.0
