method,scenario,seed,voting_macro_f1,ranking_macro_f1,voting_gmean,ranking_gmean,agreement
polygarbor_p3_aug,few2,43,0.3016624263915586,0.23997228603798207,0.0,0.0,0.814
polygarbor_p5,few2,42,0.2454426110836174,0.21985563832668456,0.0,0.0,0.846
polygarbor_p5,few2,43,0.29718214692298983,0.18730227278913625,0.0,0.0,0.68
polygarbor,few50,42,0.6675760904616215,0.6675760904616215,0.6186633964471401,0.6186633964471401,1.0
polygarbor,few50,43,0.6780423910551538,0.6780423910551538,0.6399980655506603,0.6399980655506603,1.0
polygarbor_aug,few50,42,0.6832529396348581,0.6832529396348581,0.6221977596861944,0.6221977596861944,1.0
polygarbor_aug,few50,43,0.7133624650828864,0.7133624650828864,0.6810119275857737,0.6810119275857737,1.0
polygarbor_p3,few50,42,0.4940806372225963,0.5126523419476849,0.0,0.0,0.858
polygarbor_p3,few50,43,0.5195060831160644,0.49660416099079413,0.0,0.0,0.876
polygarbor_p3_aug,few50,42,0.46539302487397427,0.4648641763740258,0.0,0.0,0.884
polygarbor_p3_aug,few50,43,0.5465951302391479,0.49163810483966575,0.4685146296689603,0.344796219514162,0.852
polygarbor_p5,few50,42,0.483586403045978,0.4697826290260838,0.0,0.0,0.804
polygarbor_p5,few50,43,0.5397569913524028,0.4734489075999577,0.0,0.0,0.794
polygarbor,few5,42,0.43141142055713344,0.43141142055713344,0.0,0.0,1.0
polygarbor,few5,43,0.40368778265879807,0.40368778265879807,0.0,0.0,1.0
polygarbor_aug,few5,42,0.5116674946999014,0.5116674946999014,0.0,0.0,1.0
polygarbor_aug,few5,43,0.45303416834028964,0.45303416834028964,0.0,0.0,1.0
polygarbor_p3,few5,42,0.24755656186802544,0.2213315019016706,0.0,0.0,0.946
polygarbor_p3,few5,43,0.2585773370024792,0.3049358561950777,0.0,0.0,0.858
polygarbor_p3_aug,few5,42,0.3774183488126263,0.38087745959699837,0.0,0.0,0.87
polygarbor_p3_aug,few5,43,0.30142436445831167,0.3113191061555386,0.0,0.0,0.85
polygarbor_p5,few5,42,0.24338547441042402,0.21500929694100346,0.0,0.0,0.894
polygarbor_p5,few5,43,0.3765121413210414,0.32446472527074255,0.0,0.0,0.78
polygarbor,full,42,0.7802214916655392,0.7802214916655392,0.7623790057575974,0.7623790057575974,1.0
polygarbor,full,43,0.805394756854946,0.805394756854946,0.7923421495822015,0.7923421495822015,1.0
polygarbor_aug,full,42,0.8014379358295276,0.8014379358295276,0.7884210386468858,0.7884210386468858,1.0
polygarbor_aug,full,43,0.7567641558046314,0.7567641558046314,0.7309814328556731,0.7309814328556731,1.0
polygarbor_p3,full,42,0.537941950480494,0.5009337315739567,0.42336198423180843,0.3484402232788439,0.856
polygarbor_p3,full,43,0.5070611862736639,0.5161411565895468,0.3921775661989724,0.39175376602527134,0.88
polygarbor_p3_aug,full,42,0.5089587665923312,0.48342372436181946,0.37797791006793413,0.3929872455247766,0.866
polygarbor_p3_aug,full,43,0.6353919074107965,0.604970880864909,0.5827471600732389,0.5688544768153855,0.832
polygarbor_p5,full,42,0.4090245831067274,0.38712179153036896,0.0,0.0,0.844
polygarbor_p5,full,43,0.44485347104754014,0.4692226623194681,0.0,0.0,0.822
polygarbor,imbalance,42,0.4082199066385256,0.4082199066385256,0.0,0.0,1.0
polygarbor_aug,imbalance,42,0.551523423930639,0.551523423930639,0.38493914806851787,0.38493914806851787,1.0
polygarbor_p3,imbalance,42,0.5329397905389219,0.48838884808673877,0.3930415619383613,0.302725149156891,0.884
polygarbor_p3_aug,imbalance,42,0.5863951628310251,0.5246641227009651,0.0,0.0,0.858
polygarbor_p5,imbalance,42,0.5060330674415361,0.46959826004519906,0.0,0.0,0.866
polygarbor,label_noise,42,0.8248085273091407,0.8248085273091407,0.8181888419368457,0.8181888419368457,1.0
polygarbor_aug,label_noise,42,0.8038183555599498,0.8038183555599498,0.7945507195798763,0.7945507195798763,1.0
polygarbor_p3,label_noise,42,0.6780238401344918,0.6890373940770637,0.6429603703018179,0.6736183854929718,0.812
polygarbor_p3_aug,label_noise,42,0.7266272385231163,0.641850388833886,0.7086869528050701,0.6237914118379627,0.794
polygarbor_p5,label_noise,42,0.650321754128137,0.49808447762654684,0.6104514471400804,0.4341317235622113,0.736
polygarbor,source_a,42,0.754385937859879,0.754385937859879,0.7500859539614771,0.7500859539614771,1.0
polygarbor_aug,source_a,42,0.7330111667887184,0.7330111667887184,0.7031236223507324,0.7031236223507324,1.0
polygarbor_p3,source_a,42,0.4715236591480576,0.4277149436394286,0.0,0.0,0.8206896551724138
polygarbor_p3_aug,source_a,42,0.49281273566493344,0.4788863150687235,0.0,0.0,0.8189655172413793
polygarbor_p5,source_a,42,0.3365412849975955,0.2602031435704719,0.0,0.0,0.8724137931034482
polygarbor,source_b,42,0.4999704822045441,0.4999704822045441,0.0,0.0,1.0
polygarbor_aug,source_b,42,0.5692458439711963,0.5692458439711963,0.611176008218885,0.611176008218885,1.0
polygarbor_p3,source_b,42,0.3906591696990922,0.39048756250319816,0.0,0.0,0.8916607270135424
polygarbor_p3_aug,source_b,42,0.3732854980484766,0.38579567400454384,0.0,0.0,0.902352102637206
polygarbor_p5,source_b,42,0.3230912562669641,0.3061135784853839,0.0,0.0,0.9187455452601568
