run,method,scenario,seed,status,error,path,stage,seconds,cpu_seconds,samples,cpu_core_percent_mean,cpu_core_percent_peak,rss_mb_mean,rss_mb_peak,gpu_global_percent_mean,gpu_global_percent_peak,gpu_process_mb_mean,gpu_process_mb_peak
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,evaluate_train,25.379941472085193,101.57000000000001,124,400.20403225806456,424.3,455.10411561290323,455.548928,27.951612903225808,70.0,0.0,0.0
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,prepare_val_clean,0.004449755069799721,6.217248937900877e-15,0,,,,,,,,
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,evaluate_val_clean,15.376372936996631,61.50000000000001,76,396.4526315789473,417.9,502.6456522105263,519.974912,35.21052631578947,56.0,0.0,0.0
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,prepare_test_clean,0.004614906967617571,4.551914400963142e-15,0,,,,,,,,
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,evaluate_test_clean,16.202484907000326,64.81,79,398.8822784810127,408.8,538.0327242531646,555.143168,36.0,66.0,0.0,0.0
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,inference_batch1,1.5227708210004494,6.059999999999981,8,365.17499999999995,404.2,555.450368,555.450368,36.0,66.0,0.0,0.0
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,explanations,0.00033795402850955725,-2.220446049250313e-15,0,,,,,,,,
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,read_data,0.015966971986927092,0.02000000000000013,0,,,,,,,,
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,build_model,0.00026861601509153843,1.1102230246251565e-16,0,,,,,,,,
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,extract_features,4.965688570984639,4.99,24,100.34166666666665,104.6,396.15829333333335,396.754944,37.0,43.0,0.0,0.0
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,fit,0.5427535440539941,2.149999999999999,3,322.43333333333334,408.2,462.843904,483.958784,33.333333333333336,40.0,0.0,0.0
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,save_model,0.016124865040183067,0.06999999999999973,0,,,,,,,,
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,warmup,0.09653769002761692,0.3899999999999998,0,,,,,,,,
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,evaluate_train,25.582762276986614,102.37,126,400.1539682539682,413.4,483.08048457142866,483.08224,34.23015873015873,61.0,0.0,0.0
