run,method,scenario,seed,status,error,path,n_train,originals_retained,fitted_vectors_or_images,train_seconds,training_cpu_core_percent,epochs,model_mb,batch1_median_ms,batch1_p95_ms,rss_peak_mb,vram_peak_mb,fit_cpu_core_percent,fit_gpu_global_percent,evaluation,n,accuracy,macro_f1,balanced_accuracy,mcc,kappa,top2_accuracy,nll,brier,ece,auroc_macro,multiclass_gmean,score_argmax_agreement
imbalance__polygarbor_p3_aug__seed42,polygarbor_p3_aug,imbalance,42,complete,,runs/2026-09-12/imbalance__polygarbor_p3_aug__seed42,2201,1235,2800,49.653361639007926,102.77249780387594,0,0.649304,39.089876983780414,45.09880570694804,790.016,0.0,368.25,19.0,test_clean,500,0.626,0.5863951628310251,0.6313888784226933,0.5901635689850587,0.5725831520049736,0.818,1.2766568619660146,0.6184822181814174,0.2731275698093329,0.9442257009368756,0.0,0.858
imbalance__polygarbor_p5__seed42,polygarbor_p5,imbalance,42,complete,,runs/2026-09-12/imbalance__polygarbor_p5__seed42,2201,1222,2800,20.89755375997629,108.8165641834712,0,0.648045,37.84404299221933,47.94820120441727,823.066624,0.0,388.8,38.0,train,2201,0.5920036347114948,0.4508536123839051,0.607109194723175,0.543374540874746,0.5005680365241421,0.8627896410722399,1.1564882601412105,0.5958343832874314,0.20600565846994143,0.9415750398186221,0.0,0.84234438891413
imbalance__polygarbor_p5__seed42,polygarbor_p5,imbalance,42,complete,,runs/2026-09-12/imbalance__polygarbor_p5__seed42,2201,1222,2800,20.89755375997629,108.8165641834712,0,0.648045,37.84404299221933,47.94820120441727,823.066624,0.0,388.8,38.0,val_clean,500,0.57,0.5087509947154394,0.5984733911055676,0.5415522065576664,0.513191381449648,0.768,1.3829595717975636,0.6706410694462774,0.23418829639494684,0.929703353692035,0.0,0.782
imbalance__polygarbor_p5__seed42,polygarbor_p5,imbalance,42,complete,,runs/2026-09-12/imbalance__polygarbor_p5__seed42,2201,1222,2800,20.89755375997629,108.8165641834712,0,0.648045,37.84404299221933,47.94820120441727,823.066624,0.0,388.8,38.0,test_clean,500,0.576,0.5060330674415361,0.5787715772533065,0.5410273696075818,0.5152778920990297,0.772,1.3593305178398902,0.6525380990083235,0.22101167319678064,0.9276151237786942,0.0,0.866
imbalance__resnet18__seed42,resnet18,imbalance,42,complete,,runs/2026-09-12/imbalance__resnet18__seed42,2201,2201,2201,98.052981877001,73.22571800015923,29,45.011183,2.8905264916829765,4.1220603161491445,3305.988096,3751.804928,71.8568669527897,74.68025751072962,train,2201,0.9186733303044071,0.7429719781110028,0.7264870187945451,0.8973343902219028,0.8966093675331386,0.9831894593366651,0.2593530651006349,0.12357945430922014,0.045005822964234464,0.9872326765289196,0.6280039436566198,1.0
imbalance__resnet18__seed42,resnet18,imbalance,42,complete,,runs/2026-09-12/imbalance__resnet18__seed42,2201,2201,2201,98.052981877001,73.22571800015923,29,45.011183,2.8905264916829765,4.1220603161491445,3305.988096,3751.804928,71.8568669527897,74.68025751072962,val_clean,500,0.74,0.7261830029710895,0.7433386174540084,0.715780433808369,0.7027579489383886,0.948,0.6755166073629245,0.3703515950686384,0.0668334014837263,0.9712873839196303,0.6722216874615841,1.0
imbalance__resnet18__seed42,resnet18,imbalance,42,complete,,runs/2026-09-12/imbalance__resnet18__seed42,2201,2201,2201,98.052981877001,73.22571800015923,29,45.011183,2.8905264916829765,4.1220603161491445,3305.988096,3751.804928,71.8568669527897,74.68025751072962,test_clean,500,0.746,0.7246696712204068,0.7432826097466564,0.7221291621613211,0.7088878599360928,0.938,0.7214799628710065,0.3866481747896078,0.08895720482248232,0.9632513856099381,0.6546458931578893,1.0
imbalance__yolo11n__seed42,yolo11n,imbalance,42,complete,,runs/2026-09-12/imbalance__yolo11n__seed42,2201,2201,2201,224.07455032982398,349.5354554308592,36,3.204648,3.1100804917514324,4.164817777927965,3193.634816,903.872512,363.0354502369668,36.354502369668246,train,2201,0.9768287142208087,0.9453413692323279,0.9641399841025216,0.9709316224405828,0.9707760281734803,0.9968196274420718,0.07858847322063181,0.04015469256111692,0.011783461591715092,0.999174774132378,0.9633750101169063,1.0
imbalance__yolo11n__seed42,yolo11n,imbalance,42,complete,,runs/2026-09-12/imbalance__yolo11n__seed42,2201,2201,2201,224.07455032982398,349.5354554308592,36,3.204648,3.1100804917514324,4.164817777927965,3193.634816,903.872512,363.0354502369668,36.354502369668246,val_clean,500,0.914,0.9153806640034026,0.9174178945219955,0.9024975676758897,0.901546859115845,0.972,0.2810255322548384,0.13459400044222994,0.024664975966944763,0.9934970594653867,0.9122497848263345,1.0
imbalance__yolo11n__seed42,yolo11n,imbalance,42,complete,,runs/2026-09-12/imbalance__yolo11n__seed42,2201,2201,2201,224.07455032982398,349.5354554308592,36,3.204648,3.1100804917514324,4.164817777927965,3193.634816,903.872512,363.0354502369668,36.354502369668246,test_clean,500,0.904,0.9045693027523238,0.908257457640802,0.8921615395902545,0.890288723509298,0.978,0.3003053289178365,0.14326751995171547,0.03435124535333475,0.9932346930656965,0.8986880866349679,1.0
label_noise__polygarbor__seed42,polygarbor,label_noise,42,complete,,runs/2026-09-12/label_noise__polygarbor__seed42,4000,2800,2800,18.686805256060325,103.9235960020608,0,0.650646,13.412272499408573,13.763640931574628,916.754432,0.0,343.4,33.0,train,4000,0.69725,0.6963526115308988,0.6996193588414402,0.6558300453897372,0.6542068090277151,0.827,1.7304205659288614,0.7708159249707385,0.4985542433323051,0.8900143175365649,0.6939638336020404,1.0
label_noise__polygarbor__seed42,polygarbor,label_noise,42,complete,,runs/2026-09-12/label_noise__polygarbor__seed42,4000,2800,2800,18.686805256060325,103.9235960020608,0,0.650646,13.412272499408573,13.763640931574628,916.754432,0.0,343.4,33.0,train_original_labels,4000,0.85375,0.852027353476871,0.8527612508259546,0.8341155914232017,0.8328169831081567,0.95825,1.660024878559204,0.7491014378336881,0.6550542433323052,0.9499473211359402,0.8473547644356376,1.0
