run,method,scenario,seed,status,error,path,n_train,originals_retained,fitted_vectors_or_images,train_seconds,training_cpu_core_percent,epochs,model_mb,batch1_median_ms,batch1_p95_ms,rss_peak_mb,vram_peak_mb,fit_cpu_core_percent,fit_gpu_global_percent,evaluation,n,accuracy,macro_f1,balanced_accuracy,mcc,kappa,top2_accuracy,nll,brier,ece,auroc_macro,multiclass_gmean,score_argmax_agreement,examples_per_class
few20__polygarbor_aug__seed42,polygarbor_aug,few20,42,complete,,runs/2026-09-12/few20__polygarbor_aug__seed42,160,160,640,2.8736726770875975,105.78797036414639,0,0.149655,10.867103526834399,11.337636463576928,412.991488,0.0,,,test_clean,500,0.618,0.6011408081505517,0.6227589882250191,0.573733528208169,0.5627769842141889,0.802,0.9960004334506042,0.49463461732065894,0.07224861804405307,0.9362606936895455,0.5110188890366274,1.0,20
few20__polygarbor_aug__seed43,polygarbor_aug,few20,43,complete,,runs/2026-09-12/few20__polygarbor_aug__seed43,160,160,640,2.8629866869887337,106.88139116771386,0,0.14927,11.494218022562563,11.85930019710213,408.469504,0.0,109.1,42.0,test_clean,500,0.652,0.641363560830302,0.6598445267930411,0.6154605080886226,0.6018525298381783,0.828,0.9795633970855736,0.472826438931721,0.05960925350560531,0.9328464219876864,0.5866540432095898,1.0,20
few20__polygarbor_p3__seed42,polygarbor_p3,few20,42,complete,,runs/2026-09-12/few20__polygarbor_p3__seed42,160,160,1440,1.2349130939692259,153.85698064736434,0,0.334598,25.496374524664134,26.794134301599115,411.762688,0.0,383.6,33.0,test_clean,500,0.552,0.49057739183253957,0.5525055861384305,0.5113280179394425,0.4868340870457679,0.788,1.2321923442272493,0.603095126809575,0.1262878077488182,0.9365104385167835,0.3508299971716343,0.814,20
few20__polygarbor_p3__seed43,polygarbor_p3,few20,43,complete,,runs/2026-09-12/few20__polygarbor_p3__seed43,160,160,1440,1.2858810140751302,159.42377075024027,0,0.333834,26.28797694342211,27.761697000823915,411.529216,0.0,359.4,0.0,test_clean,500,0.516,0.433097724505225,0.5154065589179573,0.4697258481794797,0.44642187228357844,0.8,1.214587133619021,0.5939147540169957,0.092206810794003,0.9326822644378007,0.0,0.854,20
few20__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few20,42,complete,,runs/2026-09-12/few20__polygarbor_p3_aug__seed42,160,160,2800,4.351577838067897,131.21677268526685,0,0.649283,28.23461004300043,35.48419557628222,435.79392,0.0,329.15,42.0,test_clean,500,0.582,0.5176985700817796,0.5831764259725134,0.5438713893856101,0.5214566036699013,0.774,1.2901791321637142,0.6366611148224255,0.21801087612988662,0.9302773299099689,0.363797608119934,0.816,20
few20__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few20,43,complete,,runs/2026-09-12/few20__polygarbor_p3_aug__seed43,160,160,2800,4.2116658058948815,129.1650442061636,0,0.647893,35.877038491889834,41.74163042916916,438.734848,0.0,253.70000000000002,37.5,test_clean,500,0.556,0.48840480370875433,0.5594360774541475,0.5120553127252211,0.492889024930672,0.802,1.222737919739049,0.5970444262500189,0.14279648460978153,0.9332067594334803,0.316190603064654,0.858,20
few20__polygarbor_p5__seed42,polygarbor_p5,few20,42,complete,,runs/2026-09-12/few20__polygarbor_p5__seed42,160,160,2800,1.9819399340776727,179.1174363541975,0,0.648195,37.459761020727456,40.71844115387648,439.775232,0.0,358.35,35.0,test_clean,500,0.546,0.44333028929962504,0.5437155776704231,0.5025525704931979,0.4805515764229912,0.754,1.4075560054118759,0.6638679794139876,0.2059472922684907,0.9200492184681277,0.0,0.784,20
few20__polygarbor_p5__seed43,polygarbor_p5,few20,43,complete,,runs/2026-09-12/few20__polygarbor_p5__seed43,160,160,2800,1.8972014599712566,176.0487787127574,0,0.646993,36.35349549585953,39.98372968635521,438.505472,0.0,404.35,37.0,test_clean,500,0.572,0.5078920786901171,0.5695400917272038,0.5322232759159434,0.5102414463897471,0.816,1.3194255602781662,0.6450533172862117,0.2432382919832046,0.9200327290830131,0.0,0.776,20
few20__resnet18__seed42,resnet18,few20,42,complete,,runs/2026-09-12/few20__resnet18__seed42,160,160,160,28.972702835919335,108.30884566660514,21,45.011183,3.9835125207901,5.892340029822662,2429.136896,3649.04448,109.13666666666668,73.30833333333334,test_clean,500,0.28,0.19968030919412438,0.2852545283086011,0.21079463928172013,0.17507630544174668,0.47,2.982820920464013,0.9641447428722321,0.1747856872825866,0.7117026282510455,0.0,1.0,20
few20__resnet18__seed43,resnet18,few20,43,complete,,runs/2026-09-12/few20__resnet18__seed43,160,160,160,31.87336913892068,107.39373001582577,32,45.011183,3.930121543817222,6.496774178231134,2420.215808,3802.136576,107.93161764705881,70.02941176470588,test_clean,500,0.294,0.21859972997360794,0.2972325273121953,0.2492370087363747,0.18868479599904386,0.52,2.8251378903666824,1.1289321361046296,0.5029792271631696,0.7752876581464572,0.0,1.0,20
few20__yolo11n__seed42,yolo11n,few20,42,complete,,runs/2026-09-12/few20__yolo11n__seed42,160,160,160,28.761626098072156,297.5492404643153,16,3.203112,3.948874946217984,5.661837256047873,2637.651968,660.60288,326.15080645161294,57.46774193548387,test_clean,500,0.82,0.8213111796717623,0.8238351088725018,0.7948115609275824,0.7941605639085707,0.936,0.5900971222035095,0.2641188841459747,0.09155703045826198,0.9766574512705999,0.8105158396262249,1.0,20
few20__yolo11n__seed43,yolo11n,few20,43,complete,,runs/2026-09-12/few20__yolo11n__seed43,160,160,160,43.991935512050986,317.9901006212355,28,3.204008,3.990285040345043,5.2050049824174485,2640.031744,801.112064,338.3597989949749,55.5929648241206,test_clean,500,0.86,0.8646602710766181,0.8647551604241585,0.8409150139666456,0.8399612248910593,0.952,0.5197014403096321,0.22119464460766916,0.06961406880960491,0.9826216711419299,0.8588882694443082,1.0,20
few2__polygarbor__seed42,polygarbor,few2,42,complete,,runs/2026-09-12/few2__polygarbor__seed42,16,16,16,0.15289942605886608,98.10370376553945,0,0.004825,4.6192415175028145,4.734153329627588,379.20768,0.0,,,test_clean,500,0.316,0.23326414622582825,0.31647851606173255,0.22912254483222444,0.21664559397504257,0.524,2.3283010706418947,0.8803860872624985,0.2164948641009935,0.7839946817407764,0.0,1.0,2
few2__polygarbor__seed43,polygarbor,few2,43,complete,,runs/2026-09-12/few2__polygarbor__seed43,16,16,16,0.20778428902849555,96.25366813588685,0,0.004822,4.948151996359229,5.405956442700699,379.199488,0.0,,,test_clean,500,0.264,0.19572835796516197,0.27965162917042047,0.24273964494486835,0.1645022431298473,0.538,2.264410798012882,0.927272621041412,0.35451205934024993,0.8215646063216002,0.0,1.0,2
few2__polygarbor_aug__seed42,polygarbor_aug,few2,42,complete,,runs/2026-09-12/few2__polygarbor_aug__seed42,16,16,64,0.35267590009607375,102.07672253815213,0,0.015947,4.939121019560844,5.030807887669653,382.144512,0.0,,,test_clean,500,0.48,0.44011831623620246,0.49586305653562374,0.42961015143512554,0.40678816861818146,0.666,1.7548980766157543,0.6453401662495746,0.1390307803024991,0.8532687890879862,0.0,1.0,2
few2__polygarbor_aug__seed43,polygarbor_aug,few2,43,complete,,runs/2026-09-12/few2__polygarbor_aug__seed43,16,16,64,0.3658387379255146,98.40401321122432,0,0.015941,5.013163492549211,5.365997180342674,381.927424,0.0,,,test_clean,500,0.426,0.39219920329034363,0.44260103516469673,0.4346083316602406,0.34702383931781056,0.582,2.536783798282685,0.830199023494035,0.3187448509486814,0.8354464122675425,0.0,1.0,2
few2__polygarbor_p3__seed42,polygarbor_p3,few2,42,complete,,runs/2026-09-12/few2__polygarbor_p3__seed42,16,16,144,0.1742129469057545,103.32182722181722,0,0.034493,8.190805034246296,8.370038191787899,382.181376,0.0,,,test_clean,500,0.41,0.3135382029406664,0.4233637278676922,0.3622517767493992,0.3271353758005948,0.57,2.5153304470752897,0.8705722950677236,0.2490336078861336,0.8401907425160644,0.0,0.87,2
few2__polygarbor_p3__seed43,polygarbor_p3,few2,43,complete,,runs/2026-09-12/few2__polygarbor_p3__seed43,16,16,144,0.1727705339435488,98.39640829931439,0,0.034388,8.165880048181862,8.379526360658929,382.291968,0.0,,,test_clean,500,0.348,0.2942280915093921,0.35627827920542576,0.2716735269698675,0.2580116533139112,0.506,2.8882334490454644,0.9957804358414392,0.24396790668968257,0.8134421950007343,0.0,0.746,2
few2__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few2,42,complete,,runs/2026-09-12/few2__polygarbor_p3_aug__seed42,16,16,576,0.4895852410700172,130.72289487347342,0,0.134487,12.669868941884488,13.16063022823073,384.282624,0.0,,,test_clean,500,0.494,0.4254011090201352,0.5117233030392079,0.4525146803254018,0.42307253779672993,0.626,1.9678859298528908,0.7090759552514048,0.13052504907285142,0.8593993425053479,0.0,0.82,2
