vectors,method,scenario,seed,images_per_class,fitted_vectors,status,error,fit_seconds,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_tumor,recall_stroma,recall_complex,recall_lympho,recall_debris,recall_mucosa,recall_adipose,recall_empty,C,gamma,selection_val_macro_f1
polygarbor,nearest_centroid,few10,43,10,80,complete,,0.0011703099989972543,0.6780310877779285,0.6281410687984463,0.6036915175574828,0.6302322827545219,0.624,0.5373134328358209,0.39655172413793105,0.47058823529411764,0.6507936507936508,0.5588235294117647,0.55,0.8947368421052632,0.9830508474576272,,,
polygarbor,svm_default,few10,43,10,80,complete,,0.0014867740028421395,0.7449230705769211,0.6785535821686035,0.6588798341896082,0.6777712795949624,0.672,0.6417910447761194,0.5517241379310345,0.6617647058823529,0.5079365079365079,0.5294117647058824,0.6166666666666667,0.9298245614035088,0.9830508474576272,1.0,scale,
polygarbor,svm_tuned,few10,43,10,80,complete,,0.13012392800010275,0.7968911439146702,0.7328331442756979,0.7166727818917256,0.734958241498576,0.73,0.5373134328358209,0.5689655172413793,0.6323529411764706,0.7619047619047619,0.7794117647058824,0.6166666666666667,1.0,0.9830508474576272,100.0,0.01,0.7968911439146702
polygarbor,pmd_l3,few20,43,20,160,complete,,0.020968969001842197,0.6098960672943154,0.5935290733089535,0.5093590162654879,0.6169249864226566,0.612,0.26865671641791045,0.4827586206896552,0.47058823529411764,0.746031746031746,0.8676470588235294,0.11666666666666667,1.0,0.9830508474576272,,,
polygarbor,pmd_l1,few20,43,20,160,complete,,0.00825273299778928,0.5562758463019467,0.563600899254904,0.4885241059683438,0.5993877094436034,0.588,0.23880597014925373,0.7758620689655172,0.10294117647058823,0.9523809523809523,0.75,0.43333333333333335,0.9824561403508771,0.559322033898305,,,
polygarbor,nearest_centroid,few20,43,20,160,complete,,0.0011773629994422663,0.6615696139089458,0.6400426482840461,0.6170152469170902,0.6424913474715049,0.638,0.5671641791044776,0.41379310344827586,0.5,0.6507936507936508,0.6470588235294118,0.48333333333333334,0.8947368421052632,0.9830508474576272,,,
polygarbor,svm_default,few20,43,20,160,complete,,0.001782873001502594,0.7911585091264948,0.752983591692749,0.735882973137219,0.7523275943421506,0.75,0.6567164179104478,0.5344827586206896,0.6911764705882353,0.5873015873015873,0.8676470588235294,0.7333333333333333,0.9649122807017544,0.9830508474576272,1.0,scale,
polygarbor,svm_tuned,few20,43,20,160,complete,,0.18174418799753767,0.8143037066886137,0.7728359701968672,0.7628975827520382,0.77514356179603,0.77,0.6865671641791045,0.6206896551724138,0.5882352941176471,0.746031746031746,0.7941176470588235,0.8,0.9824561403508771,0.9830508474576272,100.0,scale,0.8143037066886137
polygarbor,pmd_l3,few50,43,50,400,complete,,0.05662753900105599,0.6932851035268399,0.6780423910551538,0.6399980655506603,0.6881640761875668,0.684,0.47761194029850745,0.5862068965517241,0.5294117647058824,0.873015873015873,0.8235294117647058,0.2833333333333333,1.0,0.9322033898305084,,,
polygarbor,pmd_l1,few50,43,50,400,complete,,0.010143971001525642,0.7210538443075152,0.7234515859231014,0.6945674681378582,0.7385746664641356,0.734,0.7611940298507462,0.7413793103448276,0.27941176470588236,0.9682539682539683,0.8970588235294118,0.5833333333333334,1.0,0.6779661016949152,,,
