vectors,method,scenario,seed,images_per_class,fitted_vectors,status,error,fit_seconds,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_tumor,recall_stroma,recall_complex,recall_lympho,recall_debris,recall_mucosa,recall_adipose,recall_empty
polygarbor,pmd_l1_standardized,full,42,500,2800,complete,,0.02717363500050851,0.8314116708193966,0.8131299105902154,0.8045323231485121,0.8167810665163044,0.814,0.9104477611940298,0.8620689655172413,0.5441176470588235,0.9206349206349206,0.8529411764705882,0.7666666666666667,0.9824561403508771,0.6949152542372882
polygarbor,pmd_l3_standardized,few1,43,1,8,undefined,IndexError: tuple index out of range,,,,,,,,,,,,,,
polygarbor,pmd_l1_standardized,few1,43,1,8,undefined,IndexError: tuple index out of range,,,,,,,,,,,,,,
polygarbor,pmd_l3_standardized,few2,43,2,16,complete,,0.004838988999836147,0.4850796993254799,0.45452280926878985,0.0,0.5065747337494699,0.49,0.582089552238806,0.8275862068965517,0.0,0.0,0.36764705882352944,0.5833333333333334,0.9122807017543859,0.7796610169491526
polygarbor,pmd_l1_standardized,few2,43,2,16,complete,,0.0047419580005225725,0.4850796993254799,0.45452280926878985,0.0,0.5065747337494699,0.49,0.582089552238806,0.8275862068965517,0.0,0.0,0.36764705882352944,0.5833333333333334,0.9122807017543859,0.7796610169491526
polygarbor,pmd_l3_standardized,few5,43,5,40,complete,,0.009102850999624934,0.4323118675496076,0.4132701844698695,0.2507989134375704,0.48323402211854904,0.462,0.014925373134328358,0.5862068965517241,0.029411764705882353,0.6031746031746031,0.20588235294117646,0.85,1.0,0.576271186440678
polygarbor,pmd_l1_standardized,few5,43,5,40,complete,,0.005748621999373427,0.3712352704714966,0.3673740757709112,0.2751297318011203,0.45016498384292264,0.434,0.04477611940298507,0.603448275862069,0.07352941176470588,0.6190476190476191,0.3088235294117647,0.85,1.0,0.1016949152542373
polygarbor,pmd_l3_standardized,few10,43,10,80,complete,,0.012505605001933873,0.5567473513359864,0.5443860597350929,0.3853974901600992,0.6173277154969912,0.596,0.029850746268656716,0.8103448275862069,0.07352941176470588,0.9523809523809523,0.4264705882352941,0.8833333333333333,1.0,0.7627118644067796
polygarbor,pmd_l1_standardized,few10,43,10,80,complete,,0.006114961001003394,0.5241244154513027,0.518562229116107,0.4053410822448227,0.5649692846787839,0.548,0.04477611940298507,0.8275862068965517,0.17647058823529413,0.9365079365079365,0.45588235294117646,0.36666666666666664,1.0,0.711864406779661
polygarbor,pmd_l3_standardized,few20,43,20,160,complete,,0.021254020000924356,0.7175396192966635,0.6719298018447436,0.628426180224217,0.7017827889942406,0.684,0.2537313432835821,0.8793103448275862,0.3088235294117647,0.8571428571428571,0.5,0.9,1.0,0.9152542372881356
polygarbor,pmd_l1_standardized,few20,43,20,160,complete,,0.008713151997653767,0.5096494686317513,0.5109016375476736,0.4754935904988394,0.5414355483342708,0.528,0.3880597014925373,0.8793103448275862,0.19117647058823528,0.746031746031746,0.3382352941176471,0.43333333333333335,0.9824561403508771,0.3728813559322034
polygarbor,pmd_l3_standardized,few50,43,50,400,complete,,0.06199492200175882,0.7434721510148574,0.7125302069533117,0.6683232021633706,0.7297230397970285,0.714,0.6417910447761194,0.9655172413793104,0.2647058823529412,0.9365079365079365,0.39705882352941174,0.7,1.0,0.9322033898305084
polygarbor,pmd_l1_standardized,few50,43,50,400,complete,,0.011748528999305563,0.736462836180634,0.7351571671797867,0.710167793059338,0.7467333850693261,0.742,0.7313432835820896,0.7068965517241379,0.3088235294117647,0.9365079365079365,0.9117647058823529,0.6666666666666666,1.0,0.711864406779661
polygarbor,pmd_l3_standardized,few100,43,100,800,complete,,0.19014723199870787,0.8231080345121224,0.7771789782059177,0.7530203645415177,0.7918159006669916,0.782,0.8208955223880597,0.9137931034482759,0.3088235294117647,0.9523809523809523,0.6911764705882353,0.8,1.0,0.847457627118644
polygarbor,pmd_l1_standardized,few100,43,100,800,complete,,0.016285088000586256,0.7956227649534486,0.7913048965290133,0.7814561585218847,0.7952569407532779,0.792,0.7910447761194029,0.7758620689655172,0.5147058823529411,0.9365079365079365,0.8823529411764706,0.7666666666666667,1.0,0.6949152542372882
polygarbor,pmd_l3_standardized,full,43,500,2800,complete,,1.4682528939993063,0.8548297709036861,0.8156540467831088,0.7943798422758312,0.8279886427545131,0.82,0.8805970149253731,1.0,0.36764705882352944,0.9682539682539683,0.8088235294117647,0.6833333333333333,1.0,0.9152542372881356
polygarbor,pmd_l1_standardized,full,43,500,2800,complete,,0.036345496999274474,0.830331867076107,0.8357542073950138,0.8302311246149408,0.83918461308196,0.836,0.8955223880597015,0.896551724137931,0.5882352941176471,0.9206349206349206,0.8676470588235294,0.8166666666666667,0.9824561403508771,0.7457627118644068
polygarbor_aug,pmd_l3_standardized,few1,42,1,32,complete,,0.010455604999151547,0.4348230516372401,0.4190699803176362,0.0,0.4603025880931159,0.44,0.19402985074626866,0.1206896551724138,0.1323529411764706,0.2698412698412698,0.0,1.0,0.9824561403508771,0.9830508474576272
polygarbor_aug,pmd_l1_standardized,few1,42,1,32,complete,,0.009113031999731902,0.4066154595317408,0.3649748084047234,0.0,0.41613144786250245,0.396,0.0,0.10344827586206896,0.10294117647058823,0.2222222222222222,0.07352941176470588,0.9666666666666667,0.8771929824561403,0.9830508474576272
polygarbor_aug,pmd_l3_standardized,few2,42,2,64,complete,,0.01364298499902361,0.42112688396242504,0.43512494584623945,0.0,0.46678145360532086,0.46,0.4626865671641791,0.603448275862069,0.20588235294117646,0.06349206349206349,0.6764705882352942,0.0,0.8070175438596491,0.9152542372881356
polygarbor_aug,pmd_l1_standardized,few2,42,2,64,complete,,0.009818508002354065,0.3295063794168961,0.3493724900114263,0.0,0.37583423916294567,0.37,0.3880597014925373,0.4827586206896552,0.3382352941176471,0.0,0.36764705882352944,0.0,0.6842105263157895,0.7457627118644068
polygarbor_aug,pmd_l3_standardized,few5,42,5,160,complete,,0.022439295000367565,0.42033384541588886,0.44140067831959195,0.0,0.4926450341596496,0.482,0.6567164179104478,0.7241379310344828,0.10294117647058823,0.0,0.5441176470588235,0.08333333333333333,0.9824561403508771,0.847457627118644
polygarbor_aug,pmd_l1_standardized,few5,42,5,160,complete,,0.008793918001174461,0.39358994820141796,0.3614315005853165,0.0,0.398302197496863,0.39,0.34328358208955223,0.5344827586206896,0.14705882352941177,0.0,0.5882352941176471,0.06666666666666667,0.9473684210526315,0.559322033898305
polygarbor_aug,pmd_l3_standardized,few10,42,10,320,complete,,0.054066093998699216,0.6231993028539519,0.6164983879828394,0.5249578785974819,0.6489423002826752,0.644,0.7910447761194029,0.6896551724137931,0.27941176470588236,0.6031746031746031,0.7794117647058824,0.08333333333333333,0.9824561403508771,0.9830508474576272
polygarbor_aug,pmd_l1_standardized,few10,42,10,320,complete,,0.01632834200063371,0.512165787562613,0.4726832698168972,0.40920905914019423,0.48444037791004935,0.472,0.417910447761194,0.5344827586206896,0.16176470588235295,0.3968253968253968,0.36764705882352944,0.18333333333333332,1.0,0.8135593220338984
polygarbor_aug,pmd_l3_standardized,few20,42,20,640,complete,,0.10919897799976752,0.558621827246171,0.5631080035465432,0.423134400224257,0.610015623144403,0.598,0.5074626865671642,0.8275862068965517,0.17647058823529413,0.9365079365079365,0.4852941176470588,0.03333333333333333,0.9473684210526315,0.9661016949152542
polygarbor_aug,pmd_l1_standardized,few20,42,20,640,complete,,0.013429968999844277,0.5428694294750249,0.5647572468001887,0.4972332441580534,0.5772864554285715,0.568,0.5970149253731343,0.8793103448275862,0.10294117647058823,0.7936507936507936,0.4852941176470588,0.38333333333333336,0.6140350877192983,0.7627118644067796
polygarbor_aug,pmd_l3_standardized,few50,42,50,1600,complete,,0.4771983850005199,0.6698520671382416,0.6562039553796151,0.5609486462968905,0.6889063052796858,0.674,0.7313432835820896,0.9482758620689655,0.07352941176470588,0.9047619047619048,0.45588235294117646,0.55,1.0,0.847457627118644
polygarbor_aug,pmd_l1_standardized,few50,42,50,1600,complete,,0.0334905620002246,0.7261789234614694,0.6869935424552689,0.6579324408152997,0.6980772092139115,0.692,0.8208955223880597,0.8620689655172413,0.27941176470588236,0.8571428571428571,0.6911764705882353,0.5333333333333333,0.9473684210526315,0.5932203389830508
polygarbor_aug,pmd_l3_standardized,few100,42,100,2800,complete,,1.1279621599969687,0.7836788177361914,0.7480952258629838,0.6854011264880753,0.7741142862392245,0.762,0.6716417910447762,0.9310344827586207,0.14705882352941177,0.9682539682539683,0.8088235294117647,0.7,1.0,0.9661016949152542
polygarbor_aug,pmd_l1_standardized,few100,42,100,2800,complete,,0.029518041999835987,0.7793416353285354,0.745739629876148,0.7287692077280626,0.7534560277860116,0.75,0.835820895522388,0.7931034482758621,0.38235294117647056,0.9047619047619048,0.8529411764705882,0.6333333333333333,0.9473684210526315,0.6779661016949152
polygarbor_aug,pmd_l3_standardized,full,42,500,2800,complete,,1.4415269759992952,0.8340776151166518,0.797365676870559,0.7737616368148452,0.8120572011265665,0.804,0.8656716417910447,0.9827586206896551,0.3382352941176471,0.9523809523809523,0.8088235294117647,0.6333333333333333,1.0,0.9152542372881356
polygarbor_aug,pmd_l1_standardized,full,42,500,2800,complete,,0.03580652000164264,0.8026735823094824,0.8051595153362774,0.7961471728073122,0.809494207294707,0.806,0.8656716417910447,0.8448275862068966,0.5294117647058824,0.9365079365079365,0.8382352941176471,0.7833333333333333,1.0,0.6779661016949152
polygarbor_aug,pmd_l3_standardized,few1,43,1,32,complete,,0.01079461200060905,0.36418811950261004,0.38068872790298747,0.0,0.40784145207256656,0.394,0.05970149253731343,0.5344827586206896,0.0,0.2857142857142857,0.5441176470588235,0.2,0.8421052631578947,0.7966101694915254
