method,scenario,seed,images_per_class,fit_seconds,status,C,gamma,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_ADI,recall_BACK,recall_DEB,recall_LYM,recall_MUC,recall_MUS,recall_NORM,recall_STR,recall_TUM,selection_val_macro_f1,error,epochs
pmd_l3,few20,43,20.0,0.0218009150003126,complete,,,0.3695641104630117,0.2892179664957793,0.0,0.3690507136082035,0.3430362116991644,0.0,1.0,0.0766961651917404,0.8580441640378549,0.0009661835748792,0.2753378378378378,0.6059379217273954,0.2327790973871734,0.2716950527169505,,,
gabor_svm,few1,44,1.0,0.0013012710005568,complete,1.0,scale,0.3064020206922986,0.2539090457639015,0.0,0.2704681043611706,0.3108635097493036,0.6875934230194319,0.0,0.0766961651917404,0.7413249211356467,0.314975845410628,0.1841216216216216,0.0863697705802968,0.1306413301662707,0.2124898621248986,,,
svm_tuned,few1,44,1.0,0.0845251289993029,complete,0.1,0.0001,0.3064020206922986,0.2539090457639015,0.0,0.2704681043611706,0.3108635097493036,0.6875934230194319,0.0,0.0766961651917404,0.7413249211356467,0.314975845410628,0.1841216216216216,0.0863697705802968,0.1306413301662707,0.2124898621248986,0.3064020206922986,,
nearest_centroid,few1,44,1.0,0.0010663579996617,complete,,,0.3064020206922986,0.2539090457639015,0.0,0.2704681043611706,0.3108635097493036,0.6875934230194319,0.0,0.0766961651917404,0.7413249211356467,0.314975845410628,0.1841216216216216,0.0863697705802968,0.1306413301662707,0.2124898621248986,,,
gabor_svm,few2,44,2.0,0.0010968480000883,complete,1.0,scale,0.3249309967870361,0.2618611487552433,0.1950634147141825,0.2673248042830571,0.3261838440111421,0.7107623318385651,0.1487603305785124,0.1091445427728613,0.5283911671924291,0.144927536231884,0.081081081081081,0.1066126855600539,0.1163895486935867,0.4598540145985401,,,
svm_tuned,few2,44,2.0,0.0874930079999103,complete,1000.0,0.001,0.3896966163330835,0.328579148217506,0.2541323164193782,0.3488127609976457,0.3664345403899721,0.7361733931240658,0.2727272727272727,0.3097345132743362,0.9716088328075708,0.221256038647343,0.1570945945945946,0.0472334682860998,0.2280285035629453,0.1954582319545823,0.3896966163330835,,
nearest_centroid,few2,44,2.0,0.0011228260000279,complete,,,0.3476054138617409,0.2818354807888167,0.1978750687406019,0.2972460895012267,0.3573816155988858,0.7914798206278026,0.0684769775678866,0.2064896755162241,0.6419558359621451,0.1526570048309178,0.1486486486486486,0.0863697705802968,0.0641330166270783,0.5150040551500406,,,
pmd_l3,few2,44,2.0,0.0059166990004086,complete,,,0.2652507889105381,0.2062125524788524,0.0,0.2706354638201352,0.2529247910863509,0.0194319880418535,0.9787485242030696,0.2182890855457227,0.0157728706624605,0.0734299516908212,0.6773648648648649,0.0,0.1947743467933491,0.2579075425790754,,,
gabor_svm,few5,44,5.0,0.0013579739998021,complete,1.0,scale,0.5026405382519947,0.4343251200099733,0.3437000654040799,0.4379999891610396,0.4972144846796657,0.7922272047832586,0.9834710743801652,0.0648967551622418,0.416403785488959,0.3632850241545893,0.1486486486486486,0.4480431848852901,0.3681710213776722,0.356853203568532,,,
svm_tuned,few5,44,5.0,0.1036644690002503,complete,100.0,0.001,0.5519844207874267,0.4939769182709932,0.3900337069766156,0.5061628812093238,0.5653203342618385,0.8004484304932735,0.9763872491145218,0.1445427728613569,0.9305993690851736,0.3101449275362319,0.1047297297297297,0.5654520917678812,0.2114014251781472,0.5117599351175993,0.5519844207874267,,
