method,scenario,seed,images_per_class,fit_seconds,status,C,gamma,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_ADI,recall_BACK,recall_DEB,recall_LYM,recall_MUC,recall_MUS,recall_NORM,recall_STR,recall_TUM,selection_val_macro_f1,error
gabor_svm,few10,44,10,0.0016916849999688566,complete,1.0,scale,0.570204592498153,0.4881911404474686,0.36881822902753497,0.4851784958832785,0.5501392757660167,0.8572496263079222,0.9940968122786304,0.12979351032448377,0.7823343848580442,0.4251207729468599,0.15202702702702703,0.5681511470985156,0.1163895486935867,0.34144363341443634,,
svm_tuned,few10,44,10,0.13282183799947234,complete,1000.0,0.0001,0.6129129543060258,0.6438923913218709,0.6014938494868508,0.6617971767999519,0.6969359331476324,0.8736920777279522,0.9929161747343566,0.7551622418879056,0.7902208201892744,0.6231884057971014,0.24493243243243243,0.8124156545209177,0.27078384798099764,0.5928629359286294,0.6129129543060258,
nearest_centroid,few10,44,10,0.0011094629999206518,complete,,,0.47788702575033665,0.46310936459560964,0.380023640943392,0.5121774196794722,0.5391364902506964,0.9035874439461884,0.9976387249114522,0.7020648967551623,0.7082018927444795,0.3188405797101449,0.05574324324324324,0.5006747638326585,0.1543942992874109,0.2684509326845093,,
pmd_l3,few10,44,10,0.012928238999847963,complete,,,0.32186359706514406,0.2003616386808307,0.11187446723486238,0.2817407304901672,0.23454038997214485,0.08221225710014948,1.0,0.696165191740413,0.49053627760252366,0.024154589371980676,0.015202702702702704,0.04183535762483131,0.14014251781472684,0.0454176804541768,,
gabor_svm,few20,44,20,0.002263735000269662,complete,1.0,scale,0.5798848292526732,0.4265348129452681,0.3304812231150893,0.41265070590839525,0.46754874651810585,0.9192825112107623,0.9964580873671782,0.18584070796460178,0.47003154574132494,0.2753623188405797,0.18412162162162163,0.25371120107962214,0.2327790973871734,0.19626926196269262,,
svm_tuned,few20,44,20,0.19449565400009305,complete,1000.0,0.001,0.6485099033758762,0.6529296244406599,0.598300543177592,0.6560879859045508,0.7213091922005571,0.9095665171898356,0.9940968122786304,0.3687315634218289,0.9022082018927445,0.714975845410628,0.3141891891891892,0.7341430499325237,0.29453681710213775,0.6723438767234388,0.6485099033758762,
nearest_centroid,few20,44,20,0.0010528230004638317,complete,,,0.4977078220140234,0.3949948496684555,0.25659671674209095,0.4589981140145592,0.4732590529247911,0.9013452914798207,0.9976387249114522,0.6814159292035398,0.7255520504731862,0.28888888888888886,0.011824324324324325,0.25371120107962214,0.21140142517814728,0.059205190592051905,,
pmd_l3,few20,44,20,0.02210171899969282,complete,,,0.4146047285421215,0.2596546672616854,0.19642384924836084,0.30644544204546276,0.2871866295264624,0.17040358744394618,1.0,0.4365781710914454,0.5583596214511041,0.033816425120772944,0.09628378378378379,0.19973009446693657,0.09738717339667459,0.1654501216545012,,
gabor_svm,few1,45,1,0.0013997189998917747,complete,1.0,scale,0.366018511766328,0.3415205674132234,0.2195485656918847,0.3535635094399321,0.4137883008356546,0.8542600896860987,0.9940968122786304,0.12389380530973451,0.3832807570977918,0.20772946859903382,0.03209459459459459,0.3643724696356275,0.09501187648456057,0.1273317112733171,,
svm_tuned,few1,45,1,0.08362080000006245,complete,0.1,0.0001,0.366018511766328,0.3415205674132234,0.2195485656918847,0.3535635094399321,0.4137883008356546,0.8542600896860987,0.9940968122786304,0.12389380530973451,0.3832807570977918,0.20772946859903382,0.03209459459459459,0.3643724696356275,0.09501187648456057,0.1273317112733171,0.366018511766328,
nearest_centroid,few1,45,1,0.0011234699995839037,complete,,,0.366018511766328,0.3415205674132234,0.2195485656918847,0.3535635094399321,0.4137883008356546,0.8542600896860987,0.9940968122786304,0.12389380530973451,0.3832807570977918,0.20772946859903382,0.03209459459459459,0.3643724696356275,0.09501187648456057,0.1273317112733171,,
pmd_l3,few1,45,1,,undefined,,,,,,,,,,,,,,,,,,IndexError: tuple index out of range
gabor_svm,few2,45,2,0.0011848069998450228,complete,1.0,scale,0.38963278585539984,0.4078131548180029,0.3092359465317048,0.4350190289695829,0.4649025069637883,0.9043348281016442,0.9976387249114522,0.49852507374631266,0.48264984227129337,0.24154589371980675,0.05405405405405406,0.41970310391363025,0.2161520190023753,0.10056772100567721,,
svm_tuned,few2,45,2,0.08831489099975443,complete,1.0,0.1,0.4236263696006215,0.39527415509361896,0.2920458465416397,0.4379074854371194,0.4632311977715877,0.914050822122571,0.9893742621015348,0.504424778761062,0.5236593059936908,0.21545893719806763,0.033783783783783786,0.4156545209176788,0.26365795724465557,0.08110300081103,0.4236263696006215,
nearest_centroid,few2,45,2,0.0009851559998423909,complete,,,0.3428310629942542,0.3336784530383028,0.0,0.37115921008319286,0.42298050139275767,0.827354260089686,0.9976387249114522,0.0,0.49369085173501576,0.18937198067632852,0.14189189189189189,0.5344129554655871,0.1187648456057007,0.0373073803730738,,
pmd_l3,few2,45,2,0.005309942999701889,complete,,,0.23253155466336184,0.22242027328350644,0.0,0.32692394634342214,0.2667130919220056,0.07847533632286996,0.9881936245572609,0.7079646017699115,0.9637223974763407,0.002898550724637681,0.16554054054054054,0.018893387314439947,0.0166270783847981,0.0,,
gabor_svm,few5,45,5,0.0013670570006070193,complete,1.0,scale,0.46475101794396345,0.35503117440848836,0.2528691790967123,0.3762355544595369,0.42994428969359333,0.9372197309417041,0.9905548996458088,0.16224188790560473,0.4384858044164038,0.18937198067632852,0.13513513513513514,0.3535762483130904,0.12114014251781473,0.058394160583941604,,
svm_tuned,few5,45,5,0.10381675999997242,complete,100.0,0.01,0.4996506496260178,0.40855440958133143,0.29596369606307166,0.45757979151582084,0.47298050139275766,0.9506726457399103,0.9752066115702479,0.6076696165191741,0.5220820189274448,0.1642512077294686,0.23648648648648649,0.48717948717948717,0.1543942992874109,0.0202757502027575,0.4996506496260178,
nearest_centroid,few5,45,5,0.0011443319999671075,complete,,,0.44406085832485315,0.3232867366733429,0.19912341377856999,0.3480982760940884,0.4093314763231198,0.9573991031390134,0.9940968122786304,0.06489675516224189,0.416403785488959,0.13140096618357489,0.10135135135135136,0.31983805668016196,0.10451306413301663,0.042984590429845905,,
pmd_l3,few5,45,5,0.009819003000302473,complete,,,0.14706369468274227,0.12883386604453534,0.0,0.223021860470015,0.16754874651810586,0.0037369207772795215,1.0,0.9646017699115044,0.01892744479495268,0.0,0.018581081081081082,0.001349527665317139,0.0,0.0,,
gabor_svm,few10,45,10,0.001576028999807022,complete,1.0,scale,0.5506019007040889,0.44804508186759684,0.38490335035502476,0.48366125145972444,0.5082172701949861,0.8946188340807175,0.987012987012987,0.5693215339233039,0.6750788643533123,0.32463768115942027,0.10641891891891891,0.3832658569500675,0.24228028503562946,0.170316301703163,,
svm_tuned,few10,45,10,0.13920554600008472,complete,100.0,0.01,0.6212784134102851,0.5200963458817337,0.5044726719175152,0.5487418543795114,0.5540389972144847,0.6180866965620329,0.9693034238488784,0.7020648967551623,0.6750788643533123,0.5545893719806764,0.2195945945945946,0.4993252361673414,0.33729216152019004,0.3633414436334144,0.6212784134102851,
nearest_centroid,few10,45,10,0.0011414760001571267,complete,,,0.4917448785813,0.3991094895787988,0.32790057750656937,0.44879833702589406,0.46768802228412254,0.9446935724962631,0.9940968122786304,0.672566371681416,0.38958990536277605,0.26859903381642514,0.10472972972972973,0.3076923076923077,0.2850356294536817,0.07218167072181671,,
pmd_l3,few10,45,10,0.014077026000450132,complete,,,0.16581865392920536,0.10078224459617294,0.0,0.23324880979324203,0.17715877437325905,0.026158445440956652,1.0,0.9587020648967551,0.03470031545741325,0.0,0.02195945945945946,0.001349527665317139,0.0498812351543943,0.006488240064882401,,
gabor_svm,few20,45,20,0.0026620920007189852,complete,1.0,scale,0.5862257749930503,0.5100935605138618,0.4752924738297812,0.5252917558967268,0.5614206128133705,0.9020926756352765,0.9834710743801653,0.56047197640118,0.5410094637223974,0.3719806763285024,0.2516891891891892,0.446693657219973,0.28741092636579574,0.38280616382806165,,
svm_tuned,few20,45,20,0.21659428199927788,complete,100.0,0.01,0.6810471431546872,0.6238668894987941,0.5991020311964971,0.6305920715922578,0.672841225626741,0.7772795216741405,0.9716646989374262,0.4896755162241888,0.7681388012618297,0.633816425120773,0.3141891891891892,0.6437246963562753,0.4085510688836104,0.6682887266828873,0.6810471431546872,
nearest_centroid,few20,45,20,0.0011773229998652823,complete,,,0.4940715863840951,0.4223361103890663,0.3484399490088645,0.44159039169773334,0.4853760445682451,0.9170403587443946,0.987012987012987,0.20058997050147492,0.6766561514195584,0.2995169082125604,0.1891891891891892,0.30364372469635625,0.2660332541567696,0.13463098134630982,,
pmd_l3,few20,45,20,0.02339907899931859,complete,,,0.20415937949910168,0.10153324187422877,0.0,0.23204838036146747,0.1796657381615599,0.043348281016442454,1.0,0.9528023598820059,0.025236593059936908,0.020289855072463767,0.011824324324324325,0.0,0.030878859857482184,0.0040551500405515,,
gabor_svm,few1,46,1,0.0016795269993963302,complete,1.0,scale,0.3853844857383356,0.34410296653293354,0.0,0.34721775552708634,0.3796657381615599,0.4342301943198804,0.9563164108618654,0.35693215339233036,0.47791798107255523,0.293719806763285,0.0,0.15519568151147098,0.07838479809976247,0.3722627737226277,,
svm_tuned,few1,46,1,0.09205653800017899,complete,0.1,0.0001,0.3853844857383356,0.34410296653293354,0.0,0.34721775552708634,0.3796657381615599,0.4342301943198804,0.9563164108618654,0.35693215339233036,0.47791798107255523,0.293719806763285,0.0,0.15519568151147098,0.07838479809976247,0.3722627737226277,0.3853844857383356,
nearest_centroid,few1,46,1,0.00133490099960909,complete,,,0.3853844857383356,0.34410296653293354,0.0,0.34721775552708634,0.3796657381615599,0.4342301943198804,0.9563164108618654,0.35693215339233036,0.47791798107255523,0.293719806763285,0.0,0.15519568151147098,0.07838479809976247,0.3722627737226277,,
