campaign,method,scenario,seed,path,train_seconds,model_mb,rss_peak_mb,evaluation,macro_f1,multiclass_gmean,balanced_accuracy,accuracy
2026-09-15_svm,gabor_svm,few50,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few50__gabor_svm__seed43,1.9965777329998673,0.07268,468.185088,train,0.8793246783123402,0.8757416006227338,0.88,0.88
2026-09-15_svm,gabor_svm,few50,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few50__gabor_svm__seed43,1.9965777329998673,0.07268,468.185088,val_clean,0.8085144880777829,0.8052516825328262,0.813372138780222,0.812
2026-09-15_svm,gabor_svm,few50,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few50__gabor_svm__seed43,1.9965777329998673,0.07268,468.185088,test_clean,0.7711245313779682,0.756647821481972,0.7716547848168993,0.77
2026-09-15_svm,gabor_svm,few5,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few5__gabor_svm__seed42,0.30055679400538793,0.012704,398.905344,train,0.8514568764568764,0.8391003452714787,0.8500000000000001,0.85
2026-09-15_svm,gabor_svm,few5,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few5__gabor_svm__seed42,0.30055679400538793,0.012704,398.905344,val_clean,0.5982204922797315,0.5422859683105601,0.5955914911167275,0.61
2026-09-15_svm,gabor_svm,few5,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few5__gabor_svm__seed42,0.30055679400538793,0.012704,398.905344,test_clean,0.5531508252852583,0.4937285527045805,0.5504771414044315,0.542
2026-09-15_svm,gabor_svm,few5,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few5__gabor_svm__seed43,0.30107115999999223,0.01294,398.729216,train,0.8437187812187812,0.8201933504991196,0.8500000000000001,0.85
2026-09-15_svm,gabor_svm,few5,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few5__gabor_svm__seed43,0.30107115999999223,0.01294,398.729216,val_clean,0.5982891922204976,0.5323646439331517,0.6015314550501303,0.608
2026-09-15_svm,gabor_svm,few5,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/few5__gabor_svm__seed43,0.30107115999999223,0.01294,398.729216,test_clean,0.5933846812282778,0.5430028521138899,0.5917952176277064,0.584
2026-09-15_svm,gabor_svm,full,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed42,22.068625552998128,0.349531,1013.28896,train,0.8888975084637463,0.8875600718223666,0.8888624829506699,0.889
2026-09-15_svm,gabor_svm,full,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed42,22.068625552998128,0.349531,1013.28896,val_clean,0.888001268582479,0.8889940591385306,0.890937465096721,0.89
2026-09-15_svm,gabor_svm,full,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed42,22.068625552998128,0.349531,1013.28896,test_clean,0.8756017547299352,0.8714776077002235,0.876164599234671,0.874
2026-09-15_svm,gabor_svm,full,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed42,22.068625552998128,0.349531,1013.28896,test_blur,0.3611054892253931,0.0,0.4639662329433223,0.45
2026-09-15_svm,gabor_svm,full,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed42,22.068625552998128,0.349531,1013.28896,test_noise,0.3560618984675557,0.0,0.45464104730658955,0.448
2026-09-15_svm,gabor_svm,full,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed42,22.068625552998128,0.349531,1013.28896,test_brightness,0.6823610021204797,0.6249053193148407,0.6938800955152593,0.68
2026-09-15_svm,gabor_svm,full,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed42,22.068625552998128,0.349531,1013.28896,test_color,0.6247108220575268,0.5544561104932779,0.6359938112781308,0.63
2026-09-15_svm,gabor_svm,full,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed42,22.068625552998128,0.349531,1013.28896,test_jpeg,0.8434756538502686,0.8342594880285564,0.8436504401728828,0.842
